Date,Open,High,Low,Close
4/22/2012,1641.45,1642.55,1639.55,1642.35
4/20/2012,1641.25,1646.75,1637.95,1642.45
4/19/2012,1641.15,1653.25,1630.25,1641.15
4/18/2012,1650.35,1654.05,1637.55,1641.25
4/17/2012,1651.15,1656.75,1634.25,1650.25
4/16/2012,1652.35,1657.75,1640.75,1651.25
4/15/2012,1655.05,1655.05,1650.75,1652.25
4/13/2012,1675.25,1677.65,1648.95,1657.75
4/12/2012,1659.15,1679.65,1650.15,1675.05
4/11/2012,1656.75,1661.95,1652.65,1659.05
4/10/2012,1642.45,1662.45,1631.55,1656.85
4/9/2012,1642.15,1648.05,1635.05,1642.25
4/8/2012,1639.45,1646.45,1639.45,1641.95
4/5/2012,1622.65,1632.85,1619.45,1630.45
4/4/2012,1646.75,1647.55,1611.85,1622.85
4/3/2012,1679.05,1680.95,1638.65,1646.65
4/2/2012,1672.55,1683.55,1662.75,1678.95
4/1/2012,1670.05,1674.55,1670.05,1672.45
3/30/2012,1661.65,1670.85,1659.95,1668.05
3/29/2012,1664.65,1664.65,1644.55,1661.55
3/28/2012,1681.15,1683.95,1654.45,1664.55
3/27/2012,1689.15,1696.85,1679.35,1680.85
3/26/2012,1669.25,1693.45,1655.35,1689.05
3/25/2012,1662.65,1669.15,1662.05,1669.15
3/23/2012,1646.55,1666.15,1641.85,1661.65
