Date,Open,High,Low,Close
2/12/2013,94.19,94.41,92.97,93.32
2/11/2013,92.56,94.47,92.45,94.19
2/10/2013,92.71,92.76,92.36,92.56
2/8/2013,93.61,93.72,92.17,92.71
2/7/2013,93.44,93.92,93.09,93.61
2/6/2013,93.57,94.06,93.28,93.44
2/5/2013,92.16,93.78,92.12,93.58
2/4/2013,92.75,93.18,91.98,92.16
2/3/2013,92.78,92.91,92.76,92.77
2/1/2013,91.72,92.97,91.62,92.78
1/31/2013,91.01,91.84,90.75,91.72
1/30/2013,90.78,91.41,90.76,91.01
1/29/2013,90.45,91.02,90.33,90.78
1/28/2013,91.19,91.19,90.41,90.44
1/27/2013,90.91,91.25,90.91,91.19
1/25/2013,90.55,91.2,90.29,90.91
1/24/2013,88.58,90.69,88.42,90.55
1/23/2013,88.52,88.78,88.06,88.58
1/22/2013,89.63,90.13,88.37,88.53
1/21/2013,90.19,90.19,89.34,89.63
1/20/2013,90.08,90.25,90.08,90.19
1/18/2013,89.82,90.21,89.64,90.08
1/17/2013,88.68,90.14,88.14,89.82
1/16/2013,88.77,88.78,87.8,88.67
1/15/2013,89.45,89.63,88.29,88.77
1/14/2013,89.5,89.64,89.08,89.46
1/13/2013,89.3,89.67,89.25,89.51
1/11/2013,89.29,89.37,88.75,89.19
1/10/2013,88.12,89.35,87.99,89.32
1/9/2013,86.93,88.19,86.91,88.15
1/8/2013,87.27,87.81,86.84,86.91
1/7/2013,88.22,88.23,87.24,87.27
1/6/2013,88.13,88.38,88.13,88.22
1/4/2013,87.72,88.4,87.57,88.15
1/3/2013,87.28,87.77,86.77,87.72
1/2/2013,86.62,87.36,86.54,87.29
1/1/2013,86.69,86.85,86.59,86.62
12/31/2012,85.97,86.79,85.87,86.75
12/30/2012,85.8,86,85.67,85.97
12/28/2012,86.5,86.55,85.88,85.88
12/27/2012,85.69,86.63,85.59,86.49
12/26/2012,85.02,85.72,85.02,85.69
12/25/2012,84.87,85.06,84.77,85.02
12/24/2012,84.42,84.87,84.33,84.87
12/23/2012,84.38,84.47,84.34,84.42
12/21/2012,84.43,84.44,83.86,84.26
12/20/2012,84.24,84.45,83.86,84.43
12/19/2012,84.36,84.62,83.95,84.24
12/18/2012,83.92,84.36,83.82,84.36
12/17/2012,84.16,84.16,83.61,83.92
12/16/2012,84.34,84.34,83.98,84.15
12/14/2012,83.68,83.96,83.32,83.53
12/13/2012,83.22,83.68,83.19,83.67
12/12/2012,82.53,83.3,82.5,83.22
12/11/2012,82.37,82.58,82.31,82.53
12/10/2012,82.57,82.59,82.12,82.36
12/9/2012,82.52,82.64,82.51,82.57
12/7/2012,82.45,82.83,82.18,82.5
12/6/2012,82.44,82.62,82.2,82.45
12/5/2012,81.84,82.48,81.8,82.44
12/4/2012,82.15,82.19,81.72,81.84
12/3/2012,82.47,82.47,82,82.15
12/2/2012,82.48,82.52,82.37,82.47
11/30/2012,82.14,82.75,82.05,82.47
11/29/2012,82.16,82.22,81.92,82.15
11/28/2012,82.09,82.21,81.69,82.16
11/27/2012,81.88,82.31,81.88,82.09
11/26/2012,82.56,82.62,81.86,81.88
11/25/2012,82.35,82.58,82.32,82.56
11/23/2012,82.37,82.48,82.07,82.39
11/22/2012,82.57,82.84,82.27,82.37
11/21/2012,81.74,82.59,81.72,82.58
11/20/2012,81.37,81.77,81.14,81.74
11/19/2012,81.56,81.59,81.09,81.37
11/18/2012,81.39,81.56,81.34,81.56
11/16/2012,81.13,81.44,80.9,81.33
11/15/2012,80.19,81.45,80.12,81.13
11/14/2012,79.46,80.31,79.4,80.2
11/13/2012,79.61,79.64,79.21,79.46
11/12/2012,79.47,79.62,79.36,79.61
11/11/2012,79.49,79.49,79.41,79.47
11/9/2012,79.49,79.61,79.08,79.47
11/8/2012,79.98,80,79.32,79.49
11/7/2012,80.29,80.4,79.76,79.98
11/6/2012,80.16,80.44,79.96,80.29
11/5/2012,80.51,80.56,80.14,80.17
11/4/2012,80.44,80.54,80.43,80.51
11/2/2012,80.22,80.67,80.2,80.47
11/1/2012,79.86,80.23,79.85,80.22
10/31/2012,79.68,79.96,79.52,79.86
10/30/2012,79.78,80.1,79.28,79.68
10/29/2012,79.65,79.84,79.53,79.78
10/28/2012,79.61,79.75,79.6,79.65
10/26/2012,80.23,80.28,79.5,79.64
10/25/2012,79.86,80.38,79.83,80.22
10/24/2012,79.82,79.92,79.69,79.85
10/23/2012,79.99,79.99,79.71,79.83
10/22/2012,79.27,80.01,79.22,79.99
10/21/2012,79.28,79.3,79.23,79.26
10/19/2012,79.32,79.43,79.14,79.33
10/18/2012,79.07,79.45,78.99,79.32
10/17/2012,78.86,79.14,78.62,79.06
10/16/2012,78.79,78.97,78.72,78.86
10/15/2012,78.48,78.86,78.33,78.79
10/14/2012,78.43,78.49,78.41,78.48
10/12/2012,78.42,78.53,78.29,78.44
10/11/2012,78.08,78.59,77.95,78.41
10/10/2012,78.24,78.37,78.04,78.08
10/9/2012,78.3,78.43,78.15,78.24
10/8/2012,78.71,78.71,78.09,78.29
10/7/2012,78.68,78.76,78.65,78.71
10/5/2012,78.52,78.87,78.28,78.66
10/4/2012,78.45,78.72,78.31,78.52
10/3/2012,78.22,78.59,78.13,78.45
10/2/2012,78.05,78.25,77.98,78.22
10/1/2012,77.97,78.15,77.79,78.05
9/30/2012,77.97,78,77.93,77.96
9/28/2012,77.62,78.11,77.44,77.93
9/27/2012,77.69,77.75,77.57,77.62
9/26/2012,77.74,77.9,77.59,77.69
9/25/2012,77.87,77.93,77.66,77.74
9/24/2012,78.13,78.15,77.81,77.87
9/23/2012,78.16,78.2,78.09,78.13
